Dimension, Size, Mean Steps, Max Steps
        1,    4,      3.968,        22
        1,    8,     16.238,        82
        1,   16,     61.322,       360
        1,   32,    252.738,      1854
        1,   64,   1032.786,      5834
        1,  128,   4074.498,     24398
        1,  256,  16524.808,    110542
        1,  512,  67604.932,    335920
        1, 1024, 256814.704,   1748112
        2,    4,      4.582,        30
        2,    8,     18.862,       152
        2,   16,     74.07 ,       465
        2,   32,    296.69 ,      2168
        2,   64,   1236.061,      5952
        2,  128,   4826.972,     24196
        2,  256,  19205.888,    107393
        2,  512,  77028.06 ,    460549
        2, 1024, 310220.583,   1621078
        3,    4,      4.856,        18
        3,    8,     21.314,        93
        3,   16,     86.476,       491
        3,   32,    344.22 ,      1980
        3,   64,   1370.095,      7031
        3,  128,   5453.712,     25234
        3,  256,  22072.383,    101848
        3,  512,  87796.019,    434478
        3, 1024, 359554.475,   1667865
        4,    4,      5.275,        29
        4,    8,     23.695,        97
        4,   16,     93.274,       480
        4,   32,    391.594,      1384
        4,   64,   1562.542,      7935
        4,  128,   6320.554,     32949
        4,  256,  25250.653,    105213
        4,  512, 102250.786,    643925
        4, 1024, 402254.516,   1376262
        6,    4,      5.953,        27
        6,    8,     27.427,       111
        6,   16,    117.958,       477
        6,   32,    478.93 ,      1673
        6,   64,   1855.243,      6997
        6,  128,   7660.47 ,     28036
        6,  256,  29835.104,    135680
        6,  512, 121418.393,    479541
        6, 1024, 471065.453,   1467206
        8,    4,      6.548,        25
        8,    8,     31.605,       108
        8,   16,    129.344,       399
        8,   32,    554.324,      1756
        8,   64,   2181.016,      6750
        8,  128,   8792.015,     27296
        8,  256,  34438.199,    119009
        8,  512, 140230.647,    487521
        8, 1024, 556593.189,   2449433
