Dimension,Size,Hitting Time,STD,Max
1D,4,3.958799999999999,2.7706418188431874,22.2
1D,8,16.1406,12.891357723310255,98.0
1D,16,64.151,51.40011837877057,379.8
1D,32,255.07739999999998,207.61910811964586,1610.2
1D,64,1031.6994,832.0907797100505,6200.0
1D,128,4074.2398000000003,3290.8300099558955,24814.6
2D,4,4.549,2.984170295013532,23.7
2D,8,18.721299999999996,13.029004645604724,99.8
2D,16,75.71900000000001,54.07536780346585,446.9
2D,32,305.05480000000006,214.32200044344344,1734.3
2D,64,1199.8812,846.6087366953676,6742.3
2D,128,4803.5141,3482.1364893833806,28576.1
3D,4,4.9283,2.892077572427204,21.9
3D,8,20.817500000000003,12.800857242144493,99.2
3D,16,86.19610000000002,54.01809536429484,416.4
3D,32,344.7745,221.23266940574666,1732.3
3D,64,1380.5973,872.6601812244041,6611.0
3D,128,5509.4887,3462.8582292951955,28515.6
4D,4,5.4489,3.1345160256279816,24.4
4D,8,23.4282,13.445703526752286,104.4
4D,16,95.3526,54.67368435659724,449.1
4D,32,387.70300000000003,224.31243070447076,1858.5
4D,64,1557.7788999999998,897.0007856755905,7435.1
4D,128,6158.6472,3511.2174732905173,27250.6
5D,4,5.7124,3.20562346145985,25.6
5D,8,25.714199999999998,14.100335493572157,117.7
5D,16,105.34459999999999,56.8116175707582,450.2
5D,32,421.91489999999993,224.75920312147855,1838.8
5D,64,1703.393,919.1835830574248,6962.7
5D,128,6848.349799999999,3645.492846159992,26123.5
6D,4,6.0665000000000004,3.3537007314436957,25.3
6D,8,27.8457,14.523052625075014,111.9
6D,16,115.79999999999998,59.04538315325772,459.5
6D,32,464.77490000000006,234.39666405359685,1792.8
6D,64,1874.5448000000001,959.0369541606555,7882.6
6D,128,7493.566000000001,3875.5022973523214,31368.2
8D,4,6.640700000000001,3.5047022014677345,25.0
8D,8,31.833199999999998,15.57671709160345,119.9
8D,16,133.5673,62.81830958863778,551.3
8D,32,541.2933999999999,250.16879849017846,1991.8
8D,64,2154.8424,988.560113888086,7549.1
8D,128,8695.7644,3965.6838934915368,29716.2
12D,4,7.645200000000001,3.9125196862455893,28.2
12D,8,38.8921,17.655318698876044,130.2
12D,16,166.60629999999998,68.90626727732251,502.6
12D,32,680.5657,279.15001963581346,2088.4
12D,64,2732.1159,1105.9857399810603,8293.6
12D,128,11008.514500000001,4412.039108515333,32647.6
16D,4,8.5888,4.423096789229243,31.1
16D,8,45.566,19.581208919069113,146.0
16D,16,199.4181,78.88434107131977,572.7
16D,32,812.4074999999999,305.82578380714205,2452.1
16D,64,3275.187,1219.8971648390682,9460.8
16D,128,13047.565400000001,4908.320346533774,39108.9
32D,4,11.487,5.89666790988778,39.9
32D,8,68.8769,27.301838626651584,185.7
32D,16,309.1262,102.8482545102491,753.2
32D,32,1288.8778000000002,412.1253260627488,3130.8
32D,64,5188.8147,1624.0053764925333,12770.1
32D,128,20898.2483,6412.680398193296,47874.5
64D,4,15.5321,7.86225060131498,45.9
64D,8,105.8058,38.26115578976676,262.6
64D,16,505.5278,150.55992076257064,1135.5
64D,32,2128.9557999999997,582.5111329821583,4536.6
64D,64,8585.409599999999,2270.836809636624,18131.2
64D,128,34632.85599999999,9171.333172231043,73260.3
128D,4,21.343700000000002,10.851211395277947,67.4
128D,8,167.3111,58.238424638279014,392.4
128D,16,837.3994,221.1629100637812,1644.1
128D,32,3588.5172999999995,861.6497968266701,6637.3
128D,64,14715.0249,3394.7510896440026,27457.9
128D,128,59010.4828,13607.657354425126,109321.1
256D,4,29.7369,15.1911051694114,92.5
256D,8,267.7659,88.93560669209269,559.5
256D,16,1424.465,352.4928347367621,2635.6
256D,32,6207.8579,1353.6721492763268,10757.1
256D,64,25416.0631,5281.592645405327,44558.1
256D,128,102361.88709999999,20599.898643908295,173122.4
512D,4,41.5931,21.145688663562893,123.9
512D,8,433.20880000000005,138.85650713801766,898.7
512D,16,2439.6714,562.2493079226351,4203.7
512D,32,10927.5415,2152.6415915263774,18217.1
512D,64,44973.469900000004,8255.845797253967,72561.6
512D,128,181496.6069,33392.07542893914,290244.0
1024D,4,58.3346,30.22309501134773,179.5
1024D,8,711.3961000000002,223.51896137096506,1425.4
1024D,16,4254.1579,949.5916388173016,7199.9
1024D,32,19425.0014,3489.0213196897394,30166.7
1024D,64,80524.8402,13691.915657118934,122814.7
1024D,128,325446.2200999999,53251.12650625159,485521.3
